SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DECS
"Andaman & Nicobar Islands",1997,9.5,0,0.2,15.6,281.1,199.5,918.5,430.6,440.2,128.7,292.8,38.40
"Andaman & Nicobar Islands",1998,0.9,0,0,0,348.9,600,364.5,258.9,337.8,618.6,227.8,89.00
"Andaman & Nicobar Islands",1999,46.8,44.6,14.2,270.6,257.4,295,408.5,329.2,325.3,437.5,124.9,145.70
"Andaman & Nicobar Islands",2000,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.20
"Andaman & Nicobar Islands",2001,89,15.7,143.3,30.1,705.3,370.7,341.3,469,334.4,267.6,222.6,91.80
"Andaman & Nicobar Islands",2002,10.6,0,11.5,100.2,366.7,358.3,317.4,429.8,420,169,306.7,129.90
"Andaman & Nicobar Islands",2003,44.3,7.9,149.2,19.4,296.3,159.9,494.9,379.4,371.9,310.4,74.1,48.00
"Andaman & Nicobar Islands",2004,54.5,35.9,36.5,41.6,505.1,423.9,378.9,308.7,280.7,223.9,169.9,0.40
"Andaman & Nicobar Islands",2005,0,0,20.3,51.1,305.3,452.4,429.3,311.1,507.5,293.5,300.1,283.90
"Andaman & Nicobar Islands",2006,16.3,14.4,48.9,163.7,321.4,366,182.7,219.6,546.5,374.7,76.1,74.40
"Andaman & Nicobar Islands",2007,4.9,1.6,5,54.6,370,378.3,463.2,465.3,486.4,209.4,223.9,85.60
"Andaman & Nicobar Islands",2008,9.9,67.7,115.8,216.1,545.5,457.8,511.2,482.1,332,243.7,321.1,72.00
"Andaman & Nicobar Islands",2009,24.5,6.3,44.2,136.5,313.1,633.5,297.3,351.5,344.7,272.8,66.2,48.00
"Andaman & Nicobar Islands",2010,101.7,8,0.7,12.5,319,448.9,521.9,563.8,263.3,402.4,268.5,246.40
"Andaman & Nicobar Islands",2011,265.9,84.8,272.8,111.4,326.5,383.2,583.2,441.5,757.1,212.3,150.8,238.50
"Andaman & Nicobar Islands",2012,119.9,45.6,30.9,55.8,533.9,458.2,317.3,369.6,868.9,209.7,300.5,187.30
"Andaman & Nicobar Islands",2013,67.1,37.6,43,46.3,509.3,777,564.8,336.7,473.6,455.8,354.2,92.30
"Andaman & Nicobar Islands",2014,41.9,8.6,0,11.1,238,416.6,467.6,321.6,412.9,402.6,201.2,100.40
"Andaman & Nicobar Islands",2015,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480,523.3,252.1,236.3,129.90
