SUBDIVISION,YEAR,JF,MAM,JJAS,OND
"Andaman & Nicobar Islands",1997,9.5,296.9,1988.8,459.9
"Andaman & Nicobar Islands",1998,0.9,348.9,1561.2,935.4
"Andaman & Nicobar Islands",1999,91.4,542.2,1358,708.1
"Andaman & Nicobar Islands",2000,112,812.2,1244.2,594.7
"Andaman & Nicobar Islands",2001,104.7,878.7,1515.4,582
"Andaman & Nicobar Islands",2002,10.7,478.4,1525.6,605.5
"Andaman & Nicobar Islands",2003,52.2,465,1406.1,432.5
"Andaman & Nicobar Islands",2004,90.4,583.2,1392.2,394.2
"Andaman & Nicobar Islands",2005,0,376.8,1700.4,877.5
"Andaman & Nicobar Islands",2006,30.7,534,1314.9,525.2
"Andaman & Nicobar Islands",2007,6.5,429.6,1793.1,518.9
"Andaman & Nicobar Islands",2008,77.6,877.3,1783.1,636.8
"Andaman & Nicobar Islands",2009,30.8,493.7,1627.1,386.9
"Andaman & Nicobar Islands",2010,109.8,332.2,1797.8,917.3
"Andaman & Nicobar Islands",2011,350.7,710.7,2165,601.6
"Andaman & Nicobar Islands",2012,165.6,620.5,2014,697.5
"Andaman & Nicobar Islands",2013,104.7,598.6,2152.1,902.4
"Andaman & Nicobar Islands",2014,50.5,249.1,1618.7,704.2
"Andaman & Nicobar Islands",2015,134.4,473.2,1678.6,618.4
"Andaman & Nicobar Islands",2016,87.8,198.9,1562.6,1002.6
"Andaman & Nicobar Islands",2017,234.2,417.1,1526,712.6
"Arunachal Pradesh",1997,94.6,465.8,1583.7,130.7
"Arunachal Pradesh",1998,105.6,593.6,2707.4,210.2
"Arunachal Pradesh",1999,14,543.2,1519,240.4
"Arunachal Pradesh",2000,101.2,700.8,1650,144.8
"Arunachal Pradesh",2001,119.7,560.5,1147.8,208
"Arunachal Pradesh",2002,111.4,571.6,1549.4,156.9
"Arunachal Pradesh",2003,106.1,465.2,1656.6,223.9
"Arunachal Pradesh",2004,77.1,684.3,1578.7,205.6
"Arunachal Pradesh",2005,216,604.6,1343.7,171.2
"Arunachal Pradesh",2006,109.7,587.7,1393.5,168.7
"Arunachal Pradesh",2007,110.8,590.9,2185.1,133.9
"Arunachal Pradesh",2008,116.4,499.9,1508.7,119.4
"Arunachal Pradesh",2009,110.8,394.7,1111.8,132.7
"Arunachal Pradesh",2010,13.9,1017.5,1653.6,170.9
"Arunachal Pradesh",2011,91.4,634.9,1384.2,83.3
"Arunachal Pradesh",2012,93.6,724.9,2325.6,296.3
"Arunachal Pradesh",2013,59,626,1165.9,192
"Arunachal Pradesh",2014,120.9,466,1750.8,65.4
"Arunachal Pradesh",2015,78.3,623.5,1936.9,128.8
"Arunachal Pradesh",2016,102.6,740.4,1678.2,185.7
"Arunachal Pradesh",2017,94.4,827,1583.5,240.3
"Assam & Meghalaya",1997,58.9,465.6,1763.4,84.3
"Assam & Meghalaya",1998,43.4,573.1,1947.4,239.2
"Assam & Meghalaya",1999,2.9,656.1,1710.2,225
"Assam & Meghalaya",2000,34.2,679.5,1666.6,106.6
"Assam & Meghalaya",2001,45.2,495.8,1413.2,224.2
"Assam & Meghalaya",2002,25.9,650.2,1589.8,126.8
"Assam & Meghalaya",2003,51,546.5,1573.3,263.4
"Assam & Meghalaya",2004,34.8,755.9,1849.7,353.9
"Assam & Meghalaya",2005,53.3,660.9,1525.2,228.9
